model,added_fnr,rocauc,prauc
BRT,0.0,0.8545702555824849,0.7606212291286613
RF,0.0,0.905892146462755,0.8457140431009449
DT,0.0,0.8896744869381573,0.7334633189835809
Logistic,0.0,0.7461597384490096,0.614154487510207
BRT,0.05,0.831561110247816,0.70019453236859
RF,0.05,0.8971123986552321,0.8232133415305902
DT,0.05,0.8810328965056246,0.7641920078310875
Logistic,0.05,0.7355354777602641,0.5873959497997714
BRT,0.1,0.8590064001310448,0.789975056757906
RF,0.1,0.9013350181941568,0.8518432295889546
DT,0.1,0.8815753448699498,0.7780118329618455
Logistic,0.1,0.7308540138298993,0.6082054573098583
BRT,0.15,0.8498910702659385,0.7325996545093139
RF,0.15,0.8969361947212897,0.8052453688786387
DT,0.15,0.8592202133520314,0.7347089567703486
Logistic,0.15,0.7659337907547457,0.6045379456061128
BRT,0.2,0.8421550530687589,0.7080821720664104
RF,0.2,0.8876429267292212,0.7880270106164268
DT,0.2,0.8589101676665126,0.7236972366617794
Logistic,0.2,0.7159078090550166,0.5451597906259285
BRT,0.25,0.8452200563093888,0.7592249084421908
RF,0.25,0.8902602354045279,0.8239604234018947
DT,0.25,0.862040775427208,0.7652233738981461
Logistic,0.25,0.7659873206115833,0.6536278950012414
BRT,0.3,0.8202286122782446,0.7138406727175759
RF,0.3,0.8722207633053222,0.7769999017621287
DT,0.3,0.8270551276065978,0.7109144332878192
Logistic,0.3,0.7332163768285096,0.6038943203672686
BRT,0.35,0.8278218058669594,0.7180077707474904
RF,0.35,0.8665048603557279,0.7715695494157154
DT,0.35,0.8378298715169091,0.6896107468061887
Logistic,0.35,0.730095480522812,0.5661171659786027
BRT,0.4,0.8265678198526478,0.7152244262330074
RF,0.4,0.8669494658550797,0.7914618932372387
DT,0.4,0.8323115994384285,0.7014638279988159
Logistic,0.4,0.7490859972114761,0.6230514403335916
BRT,0.45,0.8289946891842626,0.731293845171887
RF,0.45,0.8672074371126498,0.7753139072050625
DT,0.45,0.8434799637406273,0.729929653914243
Logistic,0.45,0.7222204431920077,0.5895732006299926
BRT,0.5,0.8427385016180373,0.7472440225515107
RF,0.5,0.8808637370071218,0.8038802712775889
DT,0.5,0.8152822390089792,0.6889196672130394
Logistic,0.5,0.7433065539517784,0.6097438204323502
BRT,0.55,0.8011678832116788,0.6812773846323191
RF,0.55,0.8569858308286824,0.7684137305222329
DT,0.55,0.8155959025946147,0.6814401552743821
Logistic,0.55,0.7223995583634907,0.5889054430092396
BRT,0.6,0.7868332811950103,0.6502158685244025
RF,0.6,0.8398384037852418,0.7259492736913136
DT,0.6,0.8184474347945094,0.7001540561187227
Logistic,0.6,0.707947591209479,0.5543421917254147
BRT,0.65,0.8112632436837818,0.683170584491372
RF,0.65,0.8589743589743588,0.7618467863858821
DT,0.65,0.8179085950724095,0.6600906048941172
Logistic,0.65,0.7436599586232849,0.588732452114805
BRT,0.7,0.7780415693960094,0.6255789315834858
RF,0.7,0.8462355054711745,0.749131545984133
DT,0.7,0.7897909041127474,0.650276217600701
Logistic,0.7,0.7168811424618841,0.5781340088049828
BRT,0.75,0.7772160947712419,0.6506808232690705
RF,0.75,0.807751225490196,0.6690683724898392
DT,0.75,0.7830213682695301,0.5911813783557761
Logistic,0.75,0.7404477415966387,0.5973828235461435
BRT,0.8,0.8287595681798507,0.7170381086635875
RF,0.8,0.8065378955569019,0.6541095452670739
DT,0.8,0.7554552536881548,0.6254911953711361
Logistic,0.8,0.7649832440921516,0.6131699190171496
BRT,0.85,0.7599279295051358,0.6251591992414954
RF,0.85,0.7725439133986921,0.6369649389287052
DT,0.85,0.7220848408807969,0.5734096467075973
Logistic,0.85,0.7052914915966391,0.5551464619485796
BRT,0.9,0.7602470064572756,0.5599631635842631
RF,0.9,0.7595310638831421,0.594668394762167
DT,0.9,0.6880910287756253,0.5395021979101478
Logistic,0.9,0.7584439847031534,0.6250362429180115
BRT,0.95,0.7474760625832324,0.5533369639476985
RF,0.95,0.7102624002142652,0.5397489499115801
DT,0.95,0.5931110334069867,0.44137874565682217
Logistic,0.95,0.7073708148269392,0.5198703766465892
